date,total_connectedness,maximum_edge,average_absolute_net,from_0Y1M,to_0Y1M,net_0Y1M,from_0Y3M,to_0Y3M,net_0Y3M,from_0Y6M,to_0Y6M,net_0Y6M,from_1Y,to_1Y,net_1Y,from_2Y,to_2Y,net_2Y,from_3Y,to_3Y,net_3Y,from_5Y,to_5Y,net_5Y,from_7Y,to_7Y,net_7Y,from_10Y,to_10Y,net_10Y,from_20Y,to_20Y,net_20Y,from_30Y,to_30Y,net_30Y
2002-08-06,82.6141503363844,22.772832251014396,13.109936030735081,67.5598316491205,36.31954014080509,-31.240291508315405,76.162510908259,62.170281598655166,-13.992229309603832,82.85827547121909,83.45145780181515,0.5931823305960648,85.20291104082385,94.68432768994452,9.481416649120678,86.50208391950372,102.25743741262356,15.75535349311985,86.36717278968462,99.56765165710834,13.200478867423726,86.79002933969683,102.54434327985294,15.754313940156106,86.47603152621586,97.55650743090895,11.080475904693099,85.98013660033746,92.21956358427089,6.239426983933438,84.05609450638129,77.8749619993478,-6.181132507033482,80.80057594898645,60.10958110489623,-20.690994844090227
2002-08-07,82.6141503363844,22.772832251014396,13.109936030735081,67.5598316491205,36.31954014080509,-31.240291508315405,76.162510908259,62.170281598655166,-13.992229309603832,82.85827547121909,83.45145780181515,0.5931823305960648,85.20291104082385,94.68432768994452,9.481416649120678,86.50208391950372,102.25743741262356,15.75535349311985,86.36717278968462,99.56765165710834,13.200478867423726,86.79002933969683,102.54434327985294,15.754313940156106,86.47603152621586,97.55650743090895,11.080475904693099,85.98013660033746,92.21956358427089,6.239426983933438,84.05609450638129,77.8749619993478,-6.181132507033482,80.80057594898645,60.10958110489623,-20.690994844090227
2002-08-08,82.6141503363844,22.772832251014396,13.109936030735081,67.5598316491205,36.31954014080509,-31.240291508315405,76.162510908259,62.170281598655166,-13.992229309603832,82.85827547121909,83.45145780181515,0.5931823305960648,85.20291104082385,94.68432768994452,9.481416649120678,86.50208391950372,102.25743741262356,15.75535349311985,86.36717278968462,99.56765165710834,13.200478867423726,86.79002933969683,102.54434327985294,15.754313940156106,86.47603152621586,97.55650743090895,11.080475904693099,85.98013660033746,92.21956358427089,6.239426983933438,84.05609450638129,77.8749619993478,-6.181132507033482,80.80057594898645,60.10958110489623,-20.690994844090227
2002-08-09,82.6141503363844,22.772832251014396,13.109936030735081,67.5598316491205,36.31954014080509,-31.240291508315405,76.162510908259,62.170281598655166,-13.992229309603832,82.85827547121909,83.45145780181515,0.5931823305960648,85.20291104082385,94.68432768994452,9.481416649120678,86.50208391950372,102.25743741262356,15.75535349311985,86.36717278968462,99.56765165710834,13.200478867423726,86.79002933969683,102.54434327985294,15.754313940156106,86.47603152621586,97.55650743090895,11.080475904693099,85.98013660033746,92.21956358427089,6.239426983933438,84.05609450638129,77.8749619993478,-6.181132507033482,80.80057594898645,60.10958110489623,-20.690994844090227
2002-08-12,82.6141503363844,22.772832251014396,13.109936030735081,67.5598316491205,36.31954014080509,-31.240291508315405,76.162510908259,62.170281598655166,-13.992229309603832,82.85827547121909,83.45145780181515,0.5931823305960648,85.20291104082385,94.68432768994452,9.481416649120678,86.50208391950372,102.25743741262356,15.75535349311985,86.36717278968462,99.56765165710834,13.200478867423726,86.79002933969683,102.54434327985294,15.754313940156106,86.47603152621586,97.55650743090895,11.080475904693099,85.98013660033746,92.21956358427089,6.239426983933438,84.05609450638129,77.8749619993478,-6.181132507033482,80.80057594898645,60.10958110489623,-20.690994844090227
2002-08-13,82.63617372575973,22.51440947449561,13.082357580704304,67.83881668380556,36.7255892465171,-31.113227437288455,76.49865673848768,62.58391803681985,-13.914738701667828,82.94293247226103,83.87474717166917,0.93181469940814,85.1031389096038,93.96395181214766,8.860812902543858,86.4878927046987,101.71306354521266,15.225170840513968,86.3920148161882,99.53342701710926,13.141412200921065,86.80305979196487,102.54906503243939,15.746005240474526,86.44785431012815,97.60134896555932,11.153494655431185,85.9737129851307,92.86796913971162,6.8942561545809244,83.93948514941185,77.79059163082495,-6.148893518586906,80.57034642167636,59.79423938534587,-20.776107036330494
2002-08-14,82.63617372575973,22.51440947449561,13.082357580704304,67.83881668380556,36.7255892465171,-31.113227437288455,76.49865673848768,62.58391803681985,-13.914738701667828,82.94293247226103,83.87474717166917,0.93181469940814,85.1031389096038,93.96395181214766,8.860812902543858,86.4878927046987,101.71306354521266,15.225170840513968,86.3920148161882,99.53342701710926,13.141412200921065,86.80305979196487,102.54906503243939,15.746005240474526,86.44785431012815,97.60134896555932,11.153494655431185,85.9737129851307,92.86796913971162,6.8942561545809244,83.93948514941185,77.79059163082495,-6.148893518586906,80.57034642167636,59.79423938534587,-20.776107036330494
2002-08-15,82.63617372575973,22.51440947449561,13.082357580704304,67.83881668380556,36.7255892465171,-31.113227437288455,76.49865673848768,62.58391803681985,-13.914738701667828,82.94293247226103,83.87474717166917,0.93181469940814,85.1031389096038,93.96395181214766,8.860812902543858,86.4878927046987,101.71306354521266,15.225170840513968,86.3920148161882,99.53342701710926,13.141412200921065,86.80305979196487,102.54906503243939,15.746005240474526,86.44785431012815,97.60134896555932,11.153494655431185,85.9737129851307,92.86796913971162,6.8942561545809244,83.93948514941185,77.79059163082495,-6.148893518586906,80.57034642167636,59.79423938534587,-20.776107036330494
2002-08-16,82.63617372575973,22.51440947449561,13.082357580704304,67.83881668380556,36.7255892465171,-31.113227437288455,76.49865673848768,62.58391803681985,-13.914738701667828,82.94293247226103,83.87474717166917,0.93181469940814,85.1031389096038,93.96395181214766,8.860812902543858,86.4878927046987,101.71306354521266,15.225170840513968,86.3920148161882,99.53342701710926,13.141412200921065,86.80305979196487,102.54906503243939,15.746005240474526,86.44785431012815,97.60134896555932,11.153494655431185,85.9737129851307,92.86796913971162,6.8942561545809244,83.93948514941185,77.79059163082495,-6.148893518586906,80.57034642167636,59.79423938534587,-20.776107036330494
2002-08-19,82.63617372575973,22.51440947449561,13.082357580704304,67.83881668380556,36.7255892465171,-31.113227437288455,76.49865673848768,62.58391803681985,-13.914738701667828,82.94293247226103,83.87474717166917,0.93181469940814,85.1031389096038,93.96395181214766,8.860812902543858,86.4878927046987,101.71306354521266,15.225170840513968,86.3920148161882,99.53342701710926,13.141412200921065,86.80305979196487,102.54906503243939,15.746005240474526,86.44785431012815,97.60134896555932,11.153494655431185,85.9737129851307,92.86796913971162,6.8942561545809244,83.93948514941185,77.79059163082495,-6.148893518586906,80.57034642167636,59.79423938534587,-20.776107036330494
