Date,Beta 1,Beta 2,Beta 3
2001-07-31,1.3352274840515377,2.087442177064504,10.813040027859099
2001-08-01,0.9973293850818149,2.427642505823621,11.450892574135553
2001-08-02,0.5206725301697949,2.911514577734178,12.393985388991481
2001-08-03,0.2949653436114269,3.1363267991809343,12.84556710396382
2001-08-06,0.37870233326185526,3.0400472954741,12.727381707852025
2001-08-07,0.3375755645963368,3.087015661419173,12.820277435560827
2001-08-08,1.2142270203150778,2.159602889710319,11.108043033532512
2001-08-09,0.7563447055777865,2.604483196775104,11.991484944910512
2001-08-10,0.9850671046161695,2.3486134806116055,11.567236435090361
2001-08-13,1.2428227378950714,2.0849287985092473,11.129547236553538
2001-08-14,1.0187857148401493,2.3117410928102085,11.488569215720496
2001-08-15,0.7304801728095343,2.6160777212762234,11.981277846897408
2001-08-16,0.8029190710636902,2.4988704673726128,11.798271623097438
2001-08-17,1.3545482921395948,1.91559953967798,10.71744055141833
2001-08-20,1.1422284917347163,2.1795432224377627,11.10588540778966
2001-08-21,1.2301806480125113,2.0531528173666054,10.965967379588799
2001-08-22,0.9253880360877009,2.379152703854757,11.435468017054605
2001-08-23,1.067580501321921,2.244324714358828,11.082964595704375
2001-08-24,0.9906193861437308,2.3364332031518233,11.323167017377449
2001-08-27,1.1441746973559335,2.2121704021244435,11.079252380148255
2001-08-28,1.584130251913792,1.7404623486007544,10.168653317143107
2001-08-29,1.8021158816410012,1.5026049683948495,9.658300946881358
2001-08-30,1.50112509672356,1.7358265889079143,10.323843613801996
2001-08-31,1.2140395619773672,2.035649270870063,10.86278748155432
2001-09-04,0.6545065307489311,2.698371624945403,12.015653996951519
2001-09-05,0.7043152856260121,2.6262161252503393,11.905187118473453
2001-09-06,1.222548814301317,2.033531893368444,10.915055171203838
2001-09-07,1.3853304043099373,1.776351416846727,10.702604336057727
2001-09-10,1.3789270687296442,1.7852574465252147,10.85933180398512
2001-09-13,0.9116803226548571,1.6668369188132415,12.471942842114455
2001-09-14,0.9520919869052106,1.5001460729420724,12.495333634399787
2001-09-17,0.23392906119391893,2.19312095386634,13.952801610806523
2001-09-18,-0.22466437988282714,2.561319843909467,15.373181903280239
2001-09-19,-1.1530004187382983,3.218279958100937,17.43677817393361
2001-09-20,-1.2570913220417106,3.376979110025072,17.74158581246698
2001-09-21,-0.9129894048214081,3.052772555022546,16.995737566562298
2001-09-24,-0.5426796610259924,2.798083830208645,16.145186352878927
2001-09-25,0.030439099935203877,2.2537798788062124,15.121887925477104
2001-09-26,0.03159049888514805,2.2123614422509226,14.916810420842966
2001-09-27,-0.07381985811553941,2.260904928758345,15.003790658210036
2001-09-28,-0.6015292801400016,2.815585907665625,15.769260143871913
2001-10-01,-0.4764027759351958,2.6754010556271517,15.422573715237824
2001-10-02,-0.7809182973864033,2.917846141455785,15.924479651458352
2001-10-03,-0.9451240814198535,3.0476123757454783,16.189120697849617
2001-10-04,-1.206586693276304,3.2933328594784337,16.632495362989992
